Date,Time,Building,Floor,Carbon Emissions (kg CO₂),Source Type
10/1/2024,9:00,ECSW UTD,1,5.25,HVAC
10/1/2024,9:00,ECSW UTD,1,1.93,Lighting
10/1/2024,9:00,ECSW UTD,1,3.32,Computing
10/1/2024,9:00,ECSW UTD,1,4.76,Refrigeration
10/1/2024,9:00,ECSW UTD,1,1.38,Office Equipment
10/1/2024,9:00,ECSW UTD,2,4.88,HVAC
10/1/2024,9:00,ECSW UTD,2,2.79,Lighting
10/1/2024,9:00,ECSW UTD,2,3.38,Computing
10/1/2024,9:00,ECSW UTD,2,3.77,Refrigeration
10/1/2024,9:00,ECSW UTD,2,1.77,Office Equipment
10/1/2024,9:00,ECSW UTD,3,4.77,HVAC
10/1/2024,9:00,ECSW UTD,3,1.77,Lighting
10/1/2024,9:00,ECSW UTD,3,3.12,Computing
10/1/2024,9:00,ECSW UTD,3,3.04,Refrigeration
10/1/2024,9:00,ECSW UTD,3,0.64,Office Equipment
10/1/2024,9:00,ECSW UTD,4,4.72,HVAC
10/1/2024,9:00,ECSW UTD,4,1.49,Lighting
10/1/2024,9:00,ECSW UTD,4,3.16,Computing
10/1/2024,9:00,ECSW UTD,4,3.55,Refrigeration
10/1/2024,9:00,ECSW UTD,4,0.79,Office Equipment
10/1/2024,10:00,ECSW UTD,1,5.73,HVAC
10/1/2024,10:00,ECSW UTD,1,1.89,Lighting
10/1/2024,10:00,ECSW UTD,1,3.03,Computing
10/1/2024,10:00,ECSW UTD,1,3.29,Refrigeration
10/1/2024,10:00,ECSW UTD,1,1.23,Office Equipment
10/1/2024,10:00,ECSW UTD,2,5.06,HVAC
10/1/2024,10:00,ECSW UTD,2,1.42,Lighting
10/1/2024,10:00,ECSW UTD,2,3.19,Computing
10/1/2024,10:00,ECSW UTD,2,3.7,Refrigeration
10/1/2024,10:00,ECSW UTD,2,1.35,Office Equipment
10/1/2024,10:00,ECSW UTD,3,4.7,HVAC
10/1/2024,10:00,ECSW UTD,3,2.93,Lighting
10/1/2024,10:00,ECSW UTD,3,2.99,Computing
10/1/2024,10:00,ECSW UTD,3,3.47,Refrigeration
10/1/2024,10:00,ECSW UTD,3,1.91,Office Equipment
10/1/2024,10:00,ECSW UTD,4,4.39,HVAC
10/1/2024,10:00,ECSW UTD,4,2.1,Lighting
10/1/2024,10:00,ECSW UTD,4,2.02,Computing
10/1/2024,10:00,ECSW UTD,4,3.34,Refrigeration
10/1/2024,10:00,ECSW UTD,4,1.6,Office Equipment
10/1/2024,11:00,ECSW UTD,1,5.37,HVAC
10/1/2024,11:00,ECSW UTD,1,2.09,Lighting
10/1/2024,11:00,ECSW UTD,1,2.94,Computing
10/1/2024,11:00,ECSW UTD,1,3.85,Refrigeration
10/1/2024,11:00,ECSW UTD,1,0.76,Office Equipment
10/1/2024,11:00,ECSW UTD,2,4.64,HVAC
10/1/2024,11:00,ECSW UTD,2,1.77,Lighting
10/1/2024,11:00,ECSW UTD,2,3.53,Computing
10/1/2024,11:00,ECSW UTD,2,4.17,Refrigeration
10/1/2024,11:00,ECSW UTD,2,0.62,Office Equipment
10/1/2024,11:00,ECSW UTD,3,5.16,HVAC
10/1/2024,11:00,ECSW UTD,3,1.81,Lighting
10/1/2024,11:00,ECSW UTD,3,2.66,Computing
10/1/2024,11:00,ECSW UTD,3,4.31,Refrigeration
10/1/2024,11:00,ECSW UTD,3,2.02,Office Equipment
10/1/2024,11:00,ECSW UTD,4,5.47,HVAC
10/1/2024,11:00,ECSW UTD,4,1.58,Lighting
10/1/2024,11:00,ECSW UTD,4,2.85,Computing
10/1/2024,11:00,ECSW UTD,4,4.17,Refrigeration
10/1/2024,11:00,ECSW UTD,4,1.99,Office Equipment
10/1/2024,12:00,ECSW UTD,1,4.76,HVAC
10/1/2024,12:00,ECSW UTD,1,1.91,Lighting
10/1/2024,12:00,ECSW UTD,1,2.45,Computing
10/1/2024,12:00,ECSW UTD,1,3.4,Refrigeration
10/1/2024,12:00,ECSW UTD,1,1.91,Office Equipment
